item_code,construct,question,response_type,options,constraint
D01,Demographics,Which state or union territory do you currently live in?,single_select,Andhra Pradesh|Arunachal Pradesh|Assam|Bihar|Chhattisgarh|Goa|Gujarat|Haryana|Himachal Pradesh|Jharkhand|Karnataka|Kerala|Madhya Pradesh|Maharashtra|Manipur|Meghalaya|Mizoram|Nagaland|Odisha|Punjab|Rajasthan|Sikkim|Tamil Nadu|Telangana|Tripura|Uttar Pradesh|Uttarakhand|West Bengal|Delhi (NCT)|Jammu & Kashmir|Ladakh|Chandigarh|Puducherry|Other UT,0
D02,Demographics,Which city do you currently live in?,short_text,,0
D03,Demographics,How would you classify your city?,single_select,Metro (Tier 1)|Tier 2|Tier 3 or smaller|Rural,0
D04,Demographics,What is the sex that you were assigned at birth?,single_select,Male|Female|Prefer not to say,0
D05,Demographics,"How old are you? (in years, number only)",short_text,,0
D06,Demographics,Your age group:,single_select,Under 20|20-24|25-29|30-34|35-39|40+,0
D07,Demographics,What is the highest level of schooling or degree that you have completed?,single_select,Higher secondary (12th) or below|Diploma|Bachelor's degree|Master's degree (enrolled)|Master's degree (completed)|Doctorate,0
D08,Demographics,Which of these best describes you?,single_select,Married|Divorced|Separated|Widowed|Never been married,0
D09,Demographics,"What is your present religion, if any?",single_select,Hindu|Muslim|Christian|Sikh|Buddhist|Jain|Parsi/Zoroastrian|Other|No religion|Prefer not to say,0
D10,Demographics,"Aside from weddings and funerals, how often do you attend religious services?",single_select,More than once a week|Once a week|Once or twice a month|A few times a year|Less often|Never|Prefer not to say,0
D11,Demographics,"Last year, what was your total family income from all sources, before taxes?",single_select,Under ₹3 lakh|₹3-6 lakh|₹6-10 lakh|₹10-15 lakh|₹15-25 lakh|₹25-50 lakh|Over ₹50 lakh|Prefer not to say,0
D12,Demographics,"In general, would you describe your political views as",single_select,Very conservative|Somewhat conservative|Moderate|Somewhat liberal|Very liberal|Prefer not to say,0
D13,Demographics,"Including yourself, how many people currently live in your household?",single_select,1|2|3|4|5 or more,0
D14,Demographics,What is your current employment status?,single_select,Full-time|Part-time|Self-employed|Homemaker|Student|Retired|Unemployed|Other,0
D15,Demographics,Which languages do you browse and shop in online?,multi_select,English|Hindi|Tamil|Telugu|Bengali|Marathi|Kannada|Malayalam|Gujarati|Punjabi|Other,0
BF01,Big Five Personality,I see myself as someone who is full of energy,likert5,,0
BF02,Big Five Personality,"I see myself as someone who is emotionally stable, not easily upset",likert5,,0
BF03,Big Five Personality,I see myself as someone who does things efficiently,likert5,,0
BF04,Big Five Personality,"I see myself as someone who is outgoing, sociable",likert5,,0
BF05,Big Five Personality,"I see myself as someone who is sophisticated in art, music, or literature",likert5,,0
BF06,Big Five Personality,I see myself as someone who is considerate and kind to almost everyone,likert5,,0
BF07,Big Five Personality,I see myself as someone who is generally trusting,likert5,,0
NC01,Need for Cognition,I would prefer complex to simple problems,likert5,,0
NC02,Need for Cognition,I find satisfaction in deliberating hard and for long hours,likert5,,0
NC03,Need for Cognition,I prefer my life to be filled with puzzles that I must solve,likert5,,0
AC01,Agentic and Communal Values,"How important is WEALTH (financially successful, prosperous) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC02,Agentic and Communal Values,How important is PLEASURE (having one's fill of life's pleasures and enjoyments) as a guiding principle in your life?,single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC03,Agentic and Communal Values,"How important is INFLUENCE (having impact, influencing people and events) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC04,Agentic and Communal Values,"How important is COMPETENCE (displaying mastery, being capable, effective) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC05,Agentic and Communal Values,How important is ACHIEVEMENT (reaching lofty goals) as a guiding principle in your life?,single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC06,Agentic and Communal Values,"How important is LOYALTY (being faithful to friends, family, and group) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC07,Agentic and Communal Values,"How important is POWER (control over others, dominance) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC08,Agentic and Communal Values,"How important is EXCITEMENT (seeking adventure, risk, an exciting lifestyle) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC09,Agentic and Communal Values,"How important is STATUS (high rank, wide respect) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC10,Agentic and Communal Values,"How important is AUTONOMY (independent, free of others' control) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC11,Agentic and Communal Values,"How important is RECOGNITION (becoming notable, famous, or admired) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
AC12,Agentic and Communal Values,"How important is SUPERIORITY (defeating the competition, standing on top) as a guiding principle in your life?",single_select,Not important at all|Slightly unimportant|Somewhat unimportant|A little unimportant|Moderately important|Somewhat important|Quite important|Very important|Extremely important,0
MIN01,Consumer Minimalism,I avoid accumulating lots of stuff,likert5,,0
MIN02,Consumer Minimalism,I restrict the number of things I own,likert5,,0
MIN03,Consumer Minimalism,I actively avoid acquiring excess possessions,likert5,,0
MIN04,Consumer Minimalism,The selection of things I own has been carefully curated,likert5,,0
GV01,Green Values,It is important to me that the products I use do not harm the environment,likert5,,0
GV02,Green Values,My purchase habits are affected by my concern for our environment,likert5,,0
GV03,Green Values,I am willing to be inconvenienced in order to take actions that are more environmentally friendly,likert5,,0
SDS01,Social Desirability,I sometimes feel resentful when I don't get my way,single_select,TRUE|FALSE,0
SDS02,Social Desirability,There have been times when I felt like rebelling against people in authority even though I knew they were right,single_select,TRUE|FALSE,0
SDS03,Social Desirability,There have been occasions when I took advantage of someone,single_select,TRUE|FALSE,0
SDS04,Social Desirability,There have been times when I was quite jealous of the good fortune of others,single_select,TRUE|FALSE,0
IC01,Individualism and Collectivism,"I rely on myself most of the time, I rarely rely on others",likert5,,0
IC02,Individualism and Collectivism,I often do my own thing,likert5,,0
IC03,Individualism and Collectivism,"My personal identity, independent of others, is very important to me",likert5,,0
IC04,Individualism and Collectivism,It is important for me to do my job better than the others,likert5,,0
RF01,Regulatory Focus,Rules and regulations are helpful and necessary for me,single_select,Definitely untrue|Not true|Probably not true|Neither true nor untrue|Probably true|True|Definitely true,0
