task_id,frame,short_name,product_type,category_class,budget_min_inr,budget_max_inr,amazon_url
1,Self-purchase,Sneakers,a pair of sneakers or casual shoes that fit your style,hedonic,1000,2500,https://www.amazon.in/s?k=casual+shoes
2,Self-purchase,Power bank,a power bank that fits how you actually use your phone,utilitarian,800,1500,https://www.amazon.in/Power-Banks/b?node=6612025031
3,Self-purchase,Backpack,a backpack you would carry to class and placement interviews,utilitarian,1000,2500,https://www.amazon.in/Backpacks/b?node=2917430031
4,Self-purchase,Laptop,a laptop you would buy for your next two years of work and placement season,utilitarian,40000,120000,https://www.amazon.in/Laptops/b?node=1375424031
5,Self-purchase,Perfume,a fragrance you would wear,hedonic,800,1500,https://www.amazon.in/perfumes/b?node=1374302031
#6,Self-purchase,Kettle,an electric kettle for your hostel room,utilitarian,800,2000,https://www.amazon.in/Kettles/b?node=1379984031
#7,Self-purchase,Umbrella,an umbrella that will survive a Mumbai monsoon,utilitarian,0,600,https://www.amazon.in/Umbrellas/b?node=2917474031
#8,Self-purchase,Sunscreen,a sunscreen (or your daily-use skincare staple) that fits you,utilitarian,0,600,https://www.amazon.in/Sunscreen-Lotions/b?node=10257750031
#9,Self-purchase,Speaker,a Bluetooth speaker for your hostel room,hedonic,1000,2500,https://www.amazon.in/b?node=13773771031
#10,Self-purchase,Room decor,one item to make your hostel room feel more like yours,hedonic,0,600,https://www.amazon.in/Decoration-Lights/b?node=1380502031
#11,Self-purchase,Chocolate,a chocolate or gourmet snack box to treat yourself,hedonic,0,600,https://www.amazon.in/b?node=4859637031
